Gene	Value
ENSG00000268903	0.519405566798776
ENSG00000269981	0.101938016473133
ENSG00000225630	0.733094211581022
ENSG00000228794	-0.0829844241674824
ENSG00000187961	-0.159243942045172
ENSG00000187608	-0.47778513195127
ENSG00000131591	-0.02420715587625
ENSG00000186827	0.971758391320688
ENSG00000176022	-0.322118991867194
ENSG00000184163	0.159261742667093
ENSG00000160087	-0.0329022765913424
ENSG00000242485	-0.140154589836236
ENSG00000225905	-0.0444829902025708
ENSG00000205116	-0.259391985733399
ENSG00000225285	0.527376182402473
ENSG00000179403	0.47689717488142
ENSG00000160075	-0.0519804279929185
ENSG00000215014	0.419711607691022
ENSG00000272106	-0.0242441951223816
ENSG00000189339	-0.291177716502851
ENSG00000269737	0.10213171743079
ENSG00000008130	-0.0720040729405831
ENSG00000078369	-0.0824268527195152
ENSG00000231050	0.18615590599151
ENSG00000067606	0.126728220651336
ENSG00000157911	-0.0717632923687371
ENSG00000149527	0.0938538900909662
ENSG00000224387	0.330747596840391
ENSG00000229393	0.353919159838036
ENSG00000157881	0.191757182159034
ENSG00000238164	-0.0726182040751754
ENSG00000157873	0.199163655498263
ENSG00000272088	-0.27836273202834
ENSG00000238260	-0.0681078627661669
ENSG00000227372	-0.314434738936924
ENSG00000235169	-0.0213735373445838
ENSG00000130764	-0.106607842610092
ENSG00000097021	-0.673947650117268
ENSG00000162408	-0.162381875502814
ENSG00000116273	0.388002417126628
ENSG00000041988	0.170124628641909
ENSG00000007923	-0.0812320016741127
ENSG00000237436	-0.274579390502891
ENSG00000237402	0.108519557029795
ENSG00000270171	0.237578308297374
ENSG00000269978	-0.193581654789053
ENSG00000269925	-0.45672280042982
ENSG00000049246	-0.0270174261329033
ENSG00000116288	0.0627794038583758
ENSG00000116285	0.175008537448081
ENSG00000162426	-0.205869647746996
ENSG00000142599	-0.104275193448729
ENSG00000074800	0.183659498186277
ENSG00000142583	0.60526994407345
ENSG00000049239	-0.052107122547106
ENSG00000284652	-0.385967945980392
ENSG00000284693	-0.0226485457460489
ENSG00000171612	0.00743312055570802
ENSG00000231181	0.10126982957306
ENSG00000188807	-0.0912451247650809
ENSG00000171608	0.00525169868687984
ENSG00000171603	-0.315345058003908
ENSG00000178585	0.0052732774065094
ENSG00000162441	-0.149215734321627
ENSG00000130939	-0.0826999285613663
ENSG00000284735	-0.0530785922902316
ENSG00000284642	-0.176643720819537
ENSG00000142655	-0.140757334976534
ENSG00000009724	0.0550962794730325
ENSG00000116649	0.0459729093916173
ENSG00000171824	-0.153148703326825
ENSG00000198793	0.00861188441942891
ENSG00000120942	-0.0560413301955834
ENSG00000284646	-0.458416255407722
ENSG00000116663	0.327483953722443
ENSG00000116670	0.30616868227162
ENSG00000162490	-0.159077576252147
ENSG00000177000	-0.221862870705517
ENSG00000011021	-0.418820484452403
ENSG00000116685	-0.0751160443090349
ENSG00000083444	-0.168932814936008
ENSG00000028137	1.04436111729873
ENSG00000048707	-0.0280650391832211
ENSG00000162493	-0.203870192736074
ENSG00000116731	0.0132381491647644
ENSG00000189337	0.0129479576680271
ENSG00000171729	-0.253421834848823
ENSG00000142634	-0.0960249890268974
ENSG00000162458	0.620244799762795
ENSG00000179743	-0.147962583701475
ENSG00000065526	0.078458192737547
ENSG00000116809	0.0586346517811375
ENSG00000183888	1.0732091023183
ENSG00000173641	0.0830252634520706
ENSG00000232456	-0.371634353687896
ENSG00000185519	-0.110327596173451
ENSG00000142627	0.749563181488323
ENSG00000142632	0.127462302809512
ENSG00000288398	-0.507898549649973
ENSG00000261135	-0.186374173541768
ENSG00000219481	0.169017656923681
ENSG00000238142	0.236913137559202
ENSG00000117115	-0.260897179467507
ENSG00000179051	-0.251837524688804
ENSG00000117154	-0.120378917111274
ENSG00000272084	-0.410479840261404
ENSG00000127481	0.160509745714187
ENSG00000127463	-0.18005337743822
ENSG00000053372	-0.193527423941051
ENSG00000211454	-0.22745190577545
ENSG00000053371	0.046631922226567
ENSG00000040487	-0.28232451627416
ENSG00000173436	0.0242041066436798
ENSG00000236963	-0.477030687899081
ENSG00000289402	-0.2858879912502
ENSG00000090432	-0.175592205073216
ENSG00000183114	-0.365265963160887
ENSG00000158825	0.288779467367971
ENSG00000117242	-0.0512763334660045
ENSG00000127483	-0.0742810063379292
ENSG00000075151	-0.085521035267602
ENSG00000117298	0.701226713428581
ENSG00000142794	-0.238235572583506
ENSG00000162551	0.353454445436525
ENSG00000090686	0.152312114291739
ENSG00000142798	0.782770033657397
ENSG00000070831	0.0619713308758999
ENSG00000162552	0.0424825079961631
ENSG00000173372	0.698468218893459
ENSG00000159189	0.607889191806884
ENSG00000173369	0.879368255781705
ENSG00000133216	-0.026980783899873
ENSG00000169641	-0.229776703452433
ENSG00000125945	-0.00357400585112359
ENSG00000249087	0.184263189740197
ENSG00000204219	0.0111540352321287
ENSG00000088280	-0.0362261223626309
ENSG00000117318	0.463863341922041
ENSG00000057757	-0.172362625262665
ENSG00000011009	-0.234054218611843
