ENSG00000000003	8
ENSG00000000005	0
ENSG00000000419	1650
ENSG00000000457	771
ENSG00000000460	243
ENSG00000000938	8022
ENSG00000000971	121
ENSG00000001036	542
ENSG00000001084	636
ENSG00000001167	1654
ENSG00000001460	35
ENSG00000001461	1160
ENSG00000001497	713
ENSG00000001561	855
ENSG00000001617	0
ENSG00000001626	0
ENSG00000001629	1966
ENSG00000001630	63
ENSG00000001631	1442
ENSG00000002016	119
ENSG00000002079	0
ENSG00000002330	246
ENSG00000002549	2274
ENSG00000002586	0
ENSG00000002587	9
ENSG00000002726	8
ENSG00000002745	40
ENSG00000002746	0
ENSG00000002822	96
ENSG00000002834	1969
ENSG00000002919	535
ENSG00000002933	168
ENSG00000003056	3378
ENSG00000003096	28
ENSG00000003137	0
ENSG00000003147	89
ENSG00000003249	5
ENSG00000003393	942
ENSG00000003400	1452
ENSG00000003402	20108
ENSG00000003436	129
ENSG00000003509	525
ENSG00000003756	6758
ENSG00000003987	13
ENSG00000003989	0
ENSG00000004059	469
ENSG00000004139	103
ENSG00000004142	829
ENSG00000004399	352
ENSG00000004455	2354
ENSG00000004468	164
ENSG00000004478	304
ENSG00000004487	1986
ENSG00000004534	2123
ENSG00000004660	101
ENSG00000004700	2318
ENSG00000004766	966
ENSG00000004776	0
ENSG00000004777	4
ENSG00000004779	348
ENSG00000004799	1025
ENSG00000004809	18
ENSG00000004838	14
ENSG00000004846	0
ENSG00000004848	0
ENSG00000004864	352
ENSG00000004866	111
ENSG00000004897	2082
ENSG00000004939	113
ENSG00000004948	0
ENSG00000004961	188
ENSG00000004975	88
ENSG00000005001	2
ENSG00000005007	1920
ENSG00000005020	1371
ENSG00000005022	2835
ENSG00000005059	1548
ENSG00000005073	0
ENSG00000005075	566
ENSG00000005100	166
ENSG00000005102	12
ENSG00000005108	31
ENSG00000005156	620
ENSG00000005175	1189
ENSG00000005187	163
ENSG00000005189	63
ENSG00000005194	450
ENSG00000005206	181
ENSG00000005238	495
ENSG00000005243	26
ENSG00000005249	4540
ENSG00000005302	1829
ENSG00000005339	1768
ENSG00000005379	261
ENSG00000005381	161
ENSG00000005421	1
ENSG00000005436	459
ENSG00000005448	135
ENSG00000005469	318
ENSG00000005471	113
ENSG00000005483	4255
ENSG00000005486	57
ENSG00000005513	15
ENSG00000005700	2041
ENSG00000005801	652
ENSG00000005810	13239
ENSG00000005812	3974
ENSG00000005844	2715
ENSG00000005882	35
ENSG00000005884	14
ENSG00000005889	4196
ENSG00000005893	11448
ENSG00000005961	810
ENSG00000005981	0
ENSG00000006007	1063
ENSG00000006015	886
ENSG00000006016	12
ENSG00000006025	203
ENSG00000006042	2
ENSG00000006047	2
ENSG00000006059	0
ENSG00000006062	161
ENSG00000006071	0
