	symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	description
ENSG00000149428	HYOU1	0.133140379461269	-0.0227597042722978	3.87629934494828	0.000126803186515772	0.552681134489874	0.925212028500498	hypoxia up-regulated 1
ENSG00000138311	ZNF365	-0.0930629548217101	-0.00892049290955972	-3.71320503362615	0.000238321939567547	0.552681134489874	0.371424450946052	zinc finger protein 365
ENSG00000143870	PDIA6	0.130550704821668	-0.0122633397155062	3.63704955951007	0.000317561586721716	0.552681134489874	0.120322094488545	protein disulfide isomerase family A member 6
ENSG00000259448	LINC02352	-0.0855483193980853	-0.0245132445885144	-3.52157054114488	0.000486231363237891	0.552681134489874	-0.251276234369601	long intergenic non-protein coding RNA 2352
ENSG00000213337	ANKRD39	-0.0466451520264626	-0.00513201086077367	-3.51250399207284	0.000502531502588489	0.552681134489874	-0.279981735738086	ankyrin repeat domain 39
ENSG00000173261	PLAC8L1	-0.0460495672210644	0.0111735024750153	-3.46817861882054	0.000589850354713877	0.552681134489874	-0.419331958053648	PLAC8 like 1
ENSG00000271755	NA	-0.195070792756138	-0.00347831461661781	-3.43330138992815	0.000668320404513492	0.552681134489874	-0.527823858712068	NA
ENSG00000260992	NA	-0.16155147639315	-0.0029109126803089	-3.42508149161688	0.000688183003670192	0.552681134489874	-0.553244908803124	NA
ENSG00000168675	LDLRAD4	-0.0495139176500998	-0.0112083212319142	-3.41357773102781	0.000716907278861284	0.552681134489874	-0.588726535030411	low density lipoprotein receptor class A domain containing 4
ENSG00000166598	HSP90B1	0.156305234507837	0.0122425170314704	3.34498249745137	0.000912748436458748	0.552681134489874	-0.797989335328018	heat shock protein 90 beta family member 1
ENSG00000167004	PDIA3	0.0979748235348474	-0.00057725502093692	3.32315863627996	0.00098482671905682	0.552681134489874	-0.863736182041414	protein disulfide isomerase family A member 3
ENSG00000246334	NA	-0.0558245106748362	-0.0121389966632002	-3.31721676901073	0.00100534853466222	0.552681134489874	-0.881567114506775	NA
ENSG00000274578	NA	-0.133201821650751	0.0144823697681619	-3.31023747454048	0.00102996091271227	0.552681134489874	-0.902473180439496	NA
ENSG00000132825	PPP1R3D	0.0786498732850191	0.0284549416566128	3.29747732688435	0.00107641308811093	0.552681134489874	-0.940589040658461	protein phosphatase 1 regulatory subunit 3D
