Gene	Value
ENSG00000284733	-0.147649913683473
ENSG00000198744	-0.830792632352675
ENSG00000284662	-0.173701113502649
ENSG00000288531	0.0338347153274772
ENSG00000188976	-0.060504614948992
ENSG00000187608	-0.574276751526352
ENSG00000078808	-0.0816286736002328
ENSG00000176022	0.12127845739764
ENSG00000184163	-0.144056983364829
ENSG00000224870	-0.136576535101165
ENSG00000225285	-0.0841251662908307
ENSG00000272106	0.296564533613149
ENSG00000248333	-0.171866810137695
ENSG00000067606	0.315082303007049
ENSG00000271806	-0.157160317603432
ENSG00000157911	-0.190385091631308
ENSG00000149527	0.443220366127206
ENSG00000197921	0.0152726477720331
ENSG00000177133	-0.647765694856872
ENSG00000272235	-0.137734364871771
ENSG00000238260	0.377621335469219
ENSG00000235169	-0.0401631367531934
ENSG00000130764	-0.183381968609287
ENSG00000116198	0.0369861103042584
ENSG00000116254	0.28638831081514
ENSG00000116251	0.0614490269596378
ENSG00000158292	0.420513149607983
ENSG00000097021	-0.0220216250851808
ENSG00000162408	-0.0618676446170506
ENSG00000162413	-0.194328156788805
ENSG00000116273	0.0146742466873427
ENSG00000007923	-0.126479984674972
ENSG00000049246	0.280847975074881
ENSG00000116285	-0.437141922731729
ENSG00000162426	-0.0676009858548824
ENSG00000221083	0.814244624547251
ENSG00000074800	-0.334636191902565
ENSG00000230679	-0.491123075358921
ENSG00000049239	0.063007250592464
ENSG00000171621	0.0577235435989768
ENSG00000284652	-0.0794133340929113
ENSG00000171612	-0.580251756240274
ENSG00000188807	-0.0813231150346556
ENSG00000171608	0.0885311455797733
ENSG00000171603	-0.24266970658557
ENSG00000178585	-0.168956649601837
ENSG00000173614	-0.0530387968541327
ENSG00000284735	0.134799618133765
ENSG00000284642	0.629521878274321
ENSG00000142657	-0.232808236520146
ENSG00000160049	0.0446784837579181
ENSG00000120942	-0.106425848972383
ENSG00000116661	-0.196592991405072
ENSG00000116663	-0.433059951160863
ENSG00000083444	-0.00483798186013639
ENSG00000120949	0.00543794239625277
ENSG00000028137	-0.244830901900873
ENSG00000048707	-0.0654376015704103
ENSG00000162496	-0.421546843511751
ENSG00000162493	-0.225433459296458
ENSG00000116731	0.124273822415862
ENSG00000171729	-0.128081534059899
ENSG00000142634	-0.114516681903039
ENSG00000162458	-0.0856186576171876
ENSG00000179743	0.127877275498686
ENSG00000116809	0.130331748377685
ENSG00000232456	-0.153436812814648
ENSG00000185519	0.00465701846219595
ENSG00000142627	-0.229029922742724
ENSG00000237276	-0.101893715353725
ENSG00000132881	-0.111726050867635
ENSG00000055070	-0.268384304495734
ENSG00000157191	-0.246845957789058
ENSG00000261135	-0.0838350060310104
ENSG00000215908	0.0887897754000801
ENSG00000117115	-0.0748322676314125
ENSG00000179051	-0.0645093428949292
ENSG00000074964	-0.147539452285334
